Global Volcanism Program - Volcanoes of the World 5.0.2,,,,Downloaded on 26 Feb 2023 at 12:19 AM,,,,,,,,,,,,,,,,,,,
Volcano Number,Volcano Name,Eruption Number,Eruption Category,Area of Activity,VEI,VEI Modifier,Start Year Modifier,Start Year,Start Year Uncertainty,Start Month,Start Day Modifier,Start Day,Start Day Uncertainty,Evidence Method (dating),End Year Modifier,End Year,End Year Uncertainty,End Month,End Day Modifier,End Day,End Day Uncertainty,Latitude,Longitude
353060,"Azul, Cerro",11720,Confirmed Eruption,Summit and SE flank,1,?,,2008,,5,,29,,Observations: Reported,,2008,,6,,17,,-0.92,-91.408
358041,Chaiten,12271,Confirmed Eruption,,4,,,2008,,5,,2,,Observations: Reported,,2011,,5,,31,3,-42.833,-72.646
344100,Masaya,11042,Confirmed Eruption,Santiago,1,,,2008,,4,,29,,Observations: Reported,,2008,,12,?,17,,11.985,-86.165
264160,Egon,16278,Confirmed Eruption,,2,,,2008,,4,,15,,Observations: Reported,,2008,,4,?,28,,-8.676,122.455
268030,Ibu,16582,Confirmed Eruption,,1,,,2008,,4,,5,,Observations: Reported,>,2022,,12,,19,,1.488,127.63
261170,Kerinci,15532,Confirmed Eruption,,1,,,2008,,3,,24,,Observations: Reported,,,,,,,,-1.697,101.264
312070,Veniaminof,20178,Confirmed Eruption,Western intracaldera cone,1,,,2008,,2,,22,,Observations: Reported,,2008,,3,,1,,56.17,-159.38
242050,Monowai,14723,Confirmed Eruption,,0,,,2008,,2,?,8,,Observations: Hydrophonic,,2008,,2,?,8,,-25.887,-177.188
345040,Poas,11191,Confirmed Eruption,,1,,,2008,,1,,13,,Observations: Reported,,2008,,1,,13,,10.2,-84.233
351050,"Huila, Nevado del",11313,Confirmed Eruption,,2,?,,2008,,1,,2,,Observations: Reported,,2008,,4,?,16,15,2.93,-76.03
357110,Llaima,12077,Confirmed Eruption,Summit and upper east flank,3,,,2008,,1,,1,,Observations: Reported,,2009,,6,,12,4,-38.692,-71.729
261160,Talang,15499,Confirmed Eruption,,2,,,2007,,11,,27,,Observations: Reported,,2007,,12,?,16,15,-0.979,100.681
284200,Anatahan,18538,Confirmed Eruption,,2,,,2007,,11,,27,3,Observations: Reported,,2008,,8,?,9,,16.35,145.67
344120,Concepcion,11076,Confirmed Eruption,,2,?,,2007,,11,,24,,Observations: Reported,,2007,,12,,20,,11.538,-85.622
344020,San Cristobal,10893,Confirmed Eruption,,1,?,,2007,,11,<,8,,Observations: Reported,,,,,,,,12.702,-87.004
344040,Telica,10942,Confirmed Eruption,,1,?,,2007,,10,,28,3,Observations: Reported,,2008,,2,,18,,12.606,-86.84
262000,Krakatau,15626,Confirmed Eruption,Anak Krakatau,2,,,2007,,10,,23,,Observations: Reported,,2008,,8,?,30,,-6.102,105.423
263280,Kelud,15958,Confirmed Eruption,,2,,,2007,,10,?,16,15,Observations: Reported,,2008,,4,<,16,15,-7.935,112.314
